"filename", "language", "Markdown", "Shell Script", "Python", "PowerShell", "Go", "YAML", "Batch", "Makefile", "TypeScript", "JSON", "JSON with Comments", "HTML", "JavaScript", "TypeScript JSX", "CSS", "XML", "Docker", "comment", "blank", "total"
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\commission-settlement-module\design.md", "Markdown", 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 241
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\commission-settlement-module\requirements.md", "Markdown", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 139
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\commission-settlement-module\tasks.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\content-management-module\design.md", "Markdown", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 229
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\content-management-module\requirements.md", "Markdown", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 139
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\content-management-module\tasks.md", "Markdown", 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 383
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\customer-service-management-module\design.md", "Markdown", 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 308
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\customer-service-management-module\requirements.md", "Markdown", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 143
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\customer-service-management-module\tasks.md", "Markdown", 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 377
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\dashboard-module\design.md", "Markdown", 462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 558
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\dashboard-module\requirements.md", "Markdown", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 138
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\dashboard-module\tasks.md", "Markdown", 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 237
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\payment-finance-module\design.md", "Markdown", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 232
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\payment-finance-module\requirements.md", "Markdown", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 139
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\payment-finance-module\tasks.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\player-performance-evaluation-module\design.md", "Markdown", 334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 403
"c:\Users\a2778\Desktop\code\GameLink\.kiro\specs\player-performance-evaluation-module\requirements.md", "Markdown", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 144
